startup,slide_no,slide_text
CrowdBouncerPitch-Deck,11,"Use of Funds
• Of the $600,000 of capital sought to be raised in the current Series A offering, the use
of funds can be approximately broken down as follows:
• Technology Runway
– 1 year of Amazon Web Services = $25,000
– 1 year of Apigee = $92,000
– 1 year of Adobe = $5,000
• Salaries/Benefits
– 1 year for Chief Executive officer = $58,000
– 1 year for Chief Technology Officer = $107,000
– 1 year for Senior Developer = $115,000
– Interns = $21,450
• Legal & Accounting = $51,000
• Working Capital = $125,550
11"
CrowdBouncerPitch-Deck,12,"Investor Deck
February 2014
Tools for Compliance
We provide an open, API-driven
means to meet your compliance
The API for JOBS Act Compliance
Scale Your Stack objectives. It's a Regulation 2.0
world out there - CrowdBouncer
Liabilities abound in private equity
Perform the investor diligence that helps you rise to the challenge
deals – implement our API to solve
matters. From income and net without building and maintaining it
compliance problems
worth verification to investment all yourself.
cap monitoring, we provide a suite
of easy-to-integrate, best-in-breed
technology solutions
http://www.crowdbouncer.com
Bob Carbone, CEO
bob@crowdbouncer.com
(716) 857-0987
@CrowdBouncer"
Airbase-investment-memo-Series-B,1,"Airbase Memo
April 2021"
Airbase-investment-memo-Series-B,2,"Introduction
Every business spends money.A simple way to classifyall the money spent by a business is into
payroll and non-payroll dollars. Payroll spend ismanaged by the well-established category of payroll
software. The non-payroll dollars include marketingspend, software subscriptions, T&E, employee
engagement, and the number of other areas in whicha typical business spends money. In mid-market
businesses,1managing the non-payroll dollars is incrediblypainful because of the siloed and fragmented
nature of the tools used. This is the problem Airbasesolves.
Airbase replaces multiple categories of toolstypicallyused by mid-market businesses to
manage non-payroll spend, with a single comprehensiveplatform:
Request and Approval Workflows:
These happen via email, Slack, JIRA, Google Formsor through dedicated tools like Procurify
Corporate Cards:
Amex, banks (and newer offerings like Brex) are popularoptions
Expense reimbursement:
Expensify is a popular option
Accounts Payable / Bill payments:
Bill.com is the leading player in the mid-market
The ecosystem of tools to solve non-payroll spendmanagement evolved this way primarily because they
are either front ends to specific payment rails usedby businesses to pay their vendors (corporate cardsfor
Visa / Mastercard / Amex, and Bill.com for ACH / check),or a specific business process (expense
reimbursement).
1Our definition of a mid-market business is one with50-1000 employees.
Airbase Series B Memo 2"
Airbase-investment-memo-Series-B,3,"No finance and accounting team - who are the primary stakeholders in the spend management process in
mid-market companies - would design a siloed and fragmentedsystem like this. They just don’t think about
the lifecycle of spending this way.
In practice, the finance and accounting team careabout three simple steps:
1. Make sure there is a good process to control spendbefore it happens.
2. Pay the vendor once it’s approved internally. Therails over which money flows are largely irrelevant
and an implementation detail.
3. Correctly categorize and record it in the generalledger (GL), ideally in a completely automated way.
But, what they have to deal with in the traditional siloed system is:
1. An archaic and periodic monthly close process whichis an enormous amount of low-value, manual
work that involves downloading data from each system,categorizing it, recording it in the general
ledger, chasing people throughout the company foradditional information about how to categorize
specific transactions, dealing with a deluge of expensereports and reconciling the flow of money
through multiple systems. Simply put, a large partof the work undertaken by finance and
accounting teams reflects the limitations of toolsthey are forced to use.
2. A lack of high-quality control and visibility intohow money is spent by decision-makers across the
business because they don’t have access to all thesystems where the money is spent, and they
have to wait for 2-3 weeks after the end of everymonth for the information to be collated into the
general ledger as part of the monthly close process.Most businesses are not enabled to make
good decisions based on real-time spend-related data.
Airbase is a reimagining, from first principles, howspend management
should work in any business.We believe that our approachwill be the default
expectation of the market over the coming years, andthe current fragmented approach will
disappear as the market is educated about this step-changein improvement in a
foundational business process.
Airbase Series B Memo 3"
Airbase-investment-memo-Series-B,4,"Why hasn’t anybody solved this problem so far?
The primary reason the landscape of tools has remainedin silos until recently is due to the lack of maturity
of the underlying payment infrastructure. It’s importantto understand that solving the spend management
problem the right way involves deeply integratingworkflow-driven software and payments into a single
product.
Historically, tools in this domain have fallen intothree buckets:
○ Standalone software workflows that don’t touch themoney: examples include homegrown
pre-approval workflows using emails, Slack, GoogleForms etc., or more formal systems like
Procurify, or the PO module in an ERP system likeNetSuite.
○ Payment systems that address one need without anysupport for associated workflows in the
business: corporate cards are the prime example ofthis, where the only interface to internal
business processes is a downloadable statement atthe end of the month.
○ Workflow-focused systems that integrate with the relatedpayment rails: for example, Bill.com for
ACH / check payments.
Over the last 3 years, two big changes have made iteasier (not easy!) to build a system
that integrates the software workflows with payments:
1. The maturity of developer-friendly card issuing platformsand program managers. Marqeta, Stripe,
Galileo, and Adyen all have good offerings at thispoint.
2. Banks have gotten better at allowing startups andearlier stage companies to integrate into their
systems to provide the necessary building blocks tohold and move money.
This has allowed anyone who deeply understands thelifecycle of spend in a business - starting with
collaboration between team members as they decidehow to spend budgets, paying vendors across
multiple payment methods, and accounting workflowsfor how it’s all categorized and recorded correctlyin
the general ledger - to bring the software workflowsand payments together in a way that very closelymaps
to the actual workflows that happen inside a business.
Airbase Series B Memo 4"
Airbase-investment-memo-Series-B,5,"Product Principles
Please watch ademo of the Airbase platformto geta better sense of why taking a first-principles
approach to solving the entire spend management problemfundamentally changes spend culture in a
business, and leads to significant time and moneysavings
.
In addition to familiarizing yourself with how theproduct works, it’s important to understand how we
approach the product development process and the principlesthat guide us.
We’re a workflow-driven software product first and a fintech company second
We believe that almost all of the value we can offerto our customers comes from the workflows enabledby
our product. Payments are an important enabler, butjust that - an enabler. We never forget that we’renot
solving a payments problem for our customers, butworkflow, process, and information exchange problems
in their business. As far as we and our customersare concerned, payments are a utility, and the valueis in
the deep software layer above it. Of course, we makemoney from financial services as a side-effect ofthe
usage of our platform, which is great, but, the valueperceived by customers is primarily in the workflows,
and not from moving money from point A to B.
Airbase Series B Memo 5"
Airbase-investment-memo-Series-B,6,"Offer a best in class solution across every product area
We fundamentally reject the rationalization that siloedproducts exist because they are “best of breed” and
platforms can’t truly solve the whole problem. We’recommitted to delivering the breadth and depth ofthe
solution that allows mid-market companies to manage100% of their non-payroll spend in one platform
without any compromises when they move from pointsolutions. We’ve been able to do that rapidly because
when you approach spend management in a holistic way,it allows you to reuse a lot of the common
platform elements (E.g. pre-approval workflows, andthe infrastructure to sync transactions to multiple
general ledgers). An integrated platform also allowsus to innovate in completely new ways - like assigning
vendor specific virtual cards to purchase orders,and limiting card spend in a dynamic way based onspend
happening across a number of different vendors.
Deeply understand the work of finance and accounting teams
We care a lot about helping finance and accountingteams avoid low-value and manual work so they can
focus on being strategic business partners. That canonly happen if our platform shows a deep
understanding of every step of the work they do. Financeand accounting is a profession of details and
correctness, and our customers love us because theysee that our team is full of the same DNA, and that
we really understand the work they do every day.
** Ask us to dig into this if it does not come throughin the product demo.
High-quality design and UX are table stakes
Finance tools are notorious for having terrible designand UX. Most of the established players are 15 years
or older, and they don’t particularly care about UX.So, we don’t have a very high bar to meet. But, thefact
that we value high-quality design and UX has turnedout to be a big differentiator for us. We’re committedto
investing in this partly for pride, but more importantly,unlike other systems, pretty much every employeeof
a company interacts with our platform and they usewell-designed business and personal software allday
long in other areas. That’s the bar to which we holdourselves.
The Airbase system has a large surface area
We offer multiple established categories of productsin one platform. We have made a significant
investment in R&D and will continue to do so. We currentlyhave 54 people on our product development
Airbase Series B Memo 6"
Airbase-investment-memo-Series-B,7,"team, which is more than half the team and we won’t stop hiring in that area for the foreseeable future.
We’re convinced that our thesis that customers valuebreadth and depth in one platform has been validated,
and we’re going to double down on that approach tokeep our lead in the market.
Competition & Our Strategy
We classify competitors into two categories:
○ Established, legacy players: nine times out of ten,prospects we engage with are using point
solutions like Bill.com, Expensify and a corporatecard. This status quo approach to solving the
problem is the primary competition we face in themarket, and most of our sales effort is spent
showing prospects that there is a much better wayto solve the spend management problem.
○ Emerging players: These include Brex, Divvy, Rampand Teampay.
We’ve always taken the approach that the perceivedvalue is in the software, and the financial services/
payments aspect of the platform is an important enabler.So, we’ve built a robust software platform and
charge a subscription fee for it. That has been acontrarian opinion over the last few years, with morethan
a billion dollars invested behind the alternate approachfollowed by Brex, Divvy and Ramp of giving away the
product for free and making money from interchange.We believe that only making money from interchange
forces a very corporate card centric view of the problem.
Of course, this is such a large market that multiplevaluable companies with differing approaches willbe
created. But, it’s important to understand how ourstrategy differs from the other players.
Our primary goal is to own the spend related workflowsin the business
We think the most valuable problem to be solved inthis space is the unification of multiple siloedtools into
a single spend management platform. Owning all thenon-payroll spend related workflows allows us to
charge subscription fees, which makes for a good business.But, orchestrating the flow of money opens up
a significant opportunity to generate financial servicesrevenue (interchange, FX conversion, interest income
on float), and that makes it a great business. Rightnow, we’re at a X/Y split in favor of subscriptionrevenue,
Airbase Series B Memo 7"
Airbase-investment-memo-Series-B,8,"but we expect financial services revenue to grow faster as transaction volume increases across payment
methods on the platform. That makes it a no-brainerfor us to continue investing deeply in owning the
spend related workflows.
We occupy very strategic real estate in a business
Airbase is the system of record which contains everydetail of the lifecycle of how a business spends
money. This is very sticky and strategic real estateand valuable on its own, but it allows us to targeta
number of large adjacent opportunities in the future.Refer to the last section for how we think aboutthis.
Corporate cards are a commodity product
With the availability of mature card issuing platforms,anybody who can plausibly offer a corporate cardwill
do so. There is a glut of corporate card offeringsin the market and this will only continue. We believethat
trying to acquire customers on the promise of rewardsand size of the line of credit is a race to the bottom.
Yes, there is an opportunity to go head-to-head againstthe legacy card issuers like Amex and the banks
with a better product, rewards and line of credit,take some market share and build a valuable business.But,
we don’t believe that’s the best way to maximize longterm value creation. Our opinion is that corporate
cards of the future are primarily workflow-drivensoftware products where the real value is in deeply
understanding the entire lifecycle of how businessesspend money on cards and to support that in software
workflows. Also, corporate card spend is just onepiece of the larger problem finance and accountingteams
have to solve.
Focusing on the software and partnering with banksis a better long-term strategy
We issue our own cards today. But, we started withthat approach because there was no other way to
showcase our view that a corporate card system isa software product. We have no interest in competingin
the corporate card wars long term and have built thesystem to issue either our own cards, or integratewith
other card issuers. We think it’s better to focuson the software layer and partner with the incumbentcard
issuers like the banks with large commercial cardportfolios. By partnering with us, they can offera
high-quality card spend management experience to theircustomers, while keeping at bay the emerging
competition from players like Brex. We are going tolaunch our integrated offering with XYZ mid 2021,and
are in advanced discussions with ABC.
Airbase Series B Memo 8"
Airbase-investment-memo-Series-B,9,"Solving the global spend management problem is a huge opportunity
The trend of building globally distributed teams hasbeen accelerating over the last few years, but the
pandemic brought it forward by 10 years. Companiesat every stage of growth are now hiring around the
world, which means the spend management problem isglobal. If dealing with 5-6 systems to manage
spend in the US is hard, adding 2-3 additional systemsper international entity and meeting the needs ofa
distributed workforce is a big challenge for financeand accounting teams. It’s a huge opportunity todeliver
a single global platform to manage every dollar spentby a business across currencies and locations. We
have all the building blocks in place and will bedelivering this to our customers by the end of 2021.
Mid-market and then upmarket
Our primary focus so far has been on the mid-market(50-1000 employees). We’ll continue with that focus
and invest in going further upmarket where companiestruly value comprehensive software solutions that
solve their problems and will pay good money for it.The mid-market is highly underserved at the moment
and there is a clear opportunity to create the categoryleader that consolidates all non-payroll spendingin a
company.
Airbase Series B Memo 9"
Airbase-investment-memo-Series-B,10,"Progress so far
You will get a good sense of the business we’re buildingfrom the metrics deck and operating model that
will be shared with you.
Here is a high-level summary of how we’re doing
At the end of March 2021, we have X paying customersand an ending ARR of $Y.
We make an average of ~$X per customer (ranges fromabout $X to $Y). The split between
subscription and financial services revenue is X%/Y%.
Gross margin for the financial year ending Jan 312021 (FY2021) was 90.12%.
We expect it to be about 84% at the end of the currentfinancial year, since we’re hiring aggressively
in our onboarding and support teams. But, it willclimb back up to above 90% in 2022/FY2023.
We entered FY2021 with X renewable logos and $X dollarswith annual contracts and renewed Y
logos with NRR of Z%.
We did not lose a single customer because they implementedAirbase and did not find value. The
top reason for churn by far has been customers gettingacquired.
NRR in Q1 FY2022 is expected to be X%.We’re targetingY% for the year.
Payment volume on the platformacross all paymentmethods grew from an annualized rate of $X
per year in March 2020 to $Y per year in March 2021.
We’ve been very capital-efficient so far.We’ve raised~$30.5M and have ~$21.5M in the bank for
a net burn of $9M.
Employee headcount is currently 96.
Our team is spread across 9 countries since we’rea fully distributed team.
Airbase Series B Memo 10"
Airbase-investment-memo-Series-B,11,"We’re convinced at this point that our thesis that a software-first approach to unifying all non-payroll spend
into a single platform and owning the workflows is the right long-term angle of attack in this space. We’re
also confident that we have happy customers who reallyvalue the problem we solve for them and are
buying more from us as we expand our offerings. It’snow time to really accelerate our GTM effort.
How big can this get?
The opportunity in creating the leading mid-marketspend management platform is massive. But, the
strategic real estate that Airbase occupies in a businessgiven the nature of the problem we solve opens up
a number of large adjacent opportunities for us overtime.
Here are the adjacent opportunities
Budgeting and planning collaboration:
Airbase has all of the real-time spending information,but the collaboration around budgeting and
planning happens in a separate system (Excel, Anaplan,Adaptive Insights). There is huge value in
overlaying budget information over actual spend datato help budget-owners make better
decisions. We’re going to ingest and surface budgetinformation in various parts of the spend
related workflows this year, but it’s a natural extensionto bring in the planning and collaboration
workflows into Airbase too.
Contract Lifecycle Management:
Today, the decision making process related to newspend happens in Airbase, but the contract
management happens outside. The finalized contractis attached in Airbase. A robust CLM
module is an obvious add-on to our platform.
SaaS management:
This is an emerging category that helps businessesmanage all the SaaS and recurring spend in
the business. When the purchase lifecycle of theserecurring expenses is happening on Airbase,
Airbase Series B Memo 11"
Airbase-investment-memo-Series-B,12,"there is an opportunity for us to build the tools to help our customers to track the expense at a
deeper level.
Procurement management:
This is another emerging category where certain companiesessentially act as an outsourced
procurement team to help companies manage the longtail of recurring spend in their business.
Collecting contract meta-data like renewal terms,overage fees etc. as the spend flows through our
system opens up the opportunity to address this problem.
Invoice factoring and similar offerings:
Once we have sufficient scale, it should present anopportunity for us to partner with lenders to
provide factoring or related products.
Of course, we have to earn the right to enter anyof these categories. We’re currently focused on becoming
the leading spend management platform. We may notget to execute on any of these adjacent
opportunities for many years. We will likely partnerin the near term to help our customers solve these
problems. But, depending on how things play out,the upside potential is very large.
1 Product, 9 Countries, 96 Employees
Airbase Series B Memo 12"
